tconst,titleType,originalTitle,startYear,runtimeMinutes,numVotes,ordering,region,main_genre,secondary_genre
1631707,movie,Enter Nowhere,2011,90,11978,7,CA,Mystery,Sci-Fi
1632547,movie,Tsumetai nettaigyo,2010,146,13804,23,CA,Crime,Drama
1638364,movie,The Armstrong Lie,2013,124,7718,4,CA,Biography,Documentary
1640680,movie,Armadillo,2010,105,10180,7,CA,Documentary,War
1640718,movie,The Prophet,2014,85,4896,4,CA,Animation,Drama
1646975,movie,Le quattro volte,2010,88,4193,14,CA,Drama,No tiene
1648186,movie,Fisherman's Friends,2019,112,10437,3,CA,Comedy,Drama
1650048,movie,Laurence Anyways,2012,168,21425,6,CA,Drama,Romance
1650453,movie,Kiseki,2011,128,7601,20,CA,Drama,No tiene
1652218,tvSeries,Mad Dogs,2011,60,5727,4,CA,Comedy,Crime
1654523,movie,Night Train to Lisbon,2013,111,20161,18,CA,Mystery,Romance
1655420,movie,My Week with Marilyn,2011,99,88473,26,CA,Biography,Drama
1657517,movie,The Song of Names,2019,113,4860,1,CA,Drama,Music
1657563,tvSeries,Check It Out! with Dr. Steve Brule,2010,11,6719,7,CA,Comedy,Talk-Show
1661275,movie,Their Finest,2016,117,20759,43,CA,Comedy,Drama
1664894,movie,Cave of Forgotten Dreams,2010,90,17218,8,CA,Documentary,History
1667354,movie,The Painted Bird,2019,169,6948,33,CA,Drama,Horror
1667905,movie,In film nist,2011,75,5511,5,CA,Documentary,No tiene
1668200,movie,Elle s'appelait Sarah,2010,111,17633,17,CA,Drama,War
1672845,movie,You Instead,2011,80,4770,6,CA,Comedy,Drama
1673697,movie,The Sapphires,2012,103,14812,17,CA,Biography,Comedy
1673702,movie,Une vie de chat,2010,70,11605,17,CA,Adventure,Animation
1674773,movie,Hannah Arendt,2012,113,11721,15,CA,Biography,Drama
1675192,movie,Take Shelter,2011,121,104009,18,CA,Drama,Horror
1680136,movie,Klovn: The Movie,2010,93,11392,17,CA,Comedy,No tiene
1682181,movie,Bully,2011,99,10461,10,CA,Documentary,No tiene
